index,Item Type,Serving Size,Calories,fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),carbs,Dietary Fiber (g),Total Sugars (g),Added Sugars (g),protein,Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Table Type,as_of,Drink Type,oz_int,Total Fat_calories,Total Carb_calories,Protein_calories,calc_cals,Total Fat_pct,Total Carb_pct,Protein_pct,cals_match
10,Iced Tea Sweetened Blueberry Flavored Tea - Small,16 oz.,80.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,17.0,17.0,0.0,0.0,99.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,76.0,0.0,76.0,0.0,100.0,0.0,True
11,Iced Tea Sweetened Raspberry Flavored - Large,32 oz.,150.0,0.0,0.0,0.0,0.0,25.0,38.0,0.0,33.0,33.0,0.0,0.0,199.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,152.0,0.0,152.0,0.0,100.0,0.0,True
12,Iced Tea Sweetened Raspberry Flavored - Medium,24 oz.,110.0,0.0,0.0,0.0,0.0,20.0,29.0,0.0,25.0,25.0,0.0,0.0,149.0,6.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,116.0,0.0,116.0,0.0,100.0,0.0,True
13,Iced Tea Sweetened Raspberry Flavored - Small,16 oz.,80.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,17.0,17.0,0.0,0.0,99.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,76.0,0.0,76.0,0.0,100.0,0.0,True
14,Iced Tea Unsweetened - Large,32 oz.,5.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,196.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,8.0,0.0,8.0,0.0,100.0,0.0,True
15,Iced Tea Unsweetened - Medium,24 oz.,5.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,148.0,6.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,4.0,0.0,4.0,0.0,100.0,0.0,True
16,Iced Tea Unsweetened - Small,16 oz.,5.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,102.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,4.0,0.0,4.0,0.0,100.0,0.0,True
17,Iced Tea Unsweetened Blueberry Flavored Tea - Large,32 oz.,20.0,0.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,199.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,20.0,0.0,20.0,0.0,100.0,0.0,True
18,Iced Tea Unsweetened Blueberry Flavored Tea - Medium,24 oz.,15.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,149.0,6.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,12.0,0.0,12.0,0.0,100.0,0.0,True
19,Iced Tea Unsweetened Blueberry Flavored Tea - Small,16 oz.,10.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,99.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,8.0,0.0,8.0,0.0,100.0,0.0,True
20,Iced Tea Unsweetened Raspberry Flavored - Large,32 oz.,20.0,0.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,199.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,20.0,0.0,20.0,0.0,100.0,0.0,True
21,Iced Tea Unsweetened Raspberry Flavored - Medium,24 oz.,15.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,149.0,6.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,16.0,0.0,16.0,0.0,100.0,0.0,True
22,Iced Tea Unsweetened Raspberry Flavored - Small,16 oz.,10.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,99.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,12.0,0.0,12.0,0.0,100.0,0.0,True
23,Sweet Tea - Large,32 oz.,310.0,0.0,0.0,0.0,0.0,25.0,79.0,0.0,78.0,78.0,0.0,0.0,206.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,316.0,0.0,316.0,0.0,100.0,0.0,True
24,Sweet Tea - Medium,24 oz.,230.0,0.0,0.0,0.0,0.0,20.0,60.0,0.0,58.0,58.0,0.0,0.0,154.0,7.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,240.0,0.0,240.0,0.0,100.0,0.0,True
25,Sweet Tea - Small,16 oz.,150.0,0.0,0.0,0.0,0.0,15.0,40.0,0.0,39.0,39.0,0.0,0.0,103.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,160.0,0.0,160.0,0.0,100.0,0.0,True
26,Sweet Tea Blueberry Flavored - Large,32 oz.,330.0,0.0,0.0,0.0,0.0,30.0,86.0,0.0,81.0,81.0,0.0,0.0,224.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,344.0,0.0,344.0,0.0,100.0,0.0,False
0,Sweet Tea Blueberry Flavored - Medium,24 oz.,250.0,0.0,0.0,0.0,0.0,20.0,64.0,0.0,60.0,60.0,0.0,0.0,167.0,7.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,256.0,0.0,256.0,0.0,100.0,0.0,True
1,Sweet Tea Blueberry Flavored - Small,16 oz.,170.0,0.0,0.0,0.0,0.0,15.0,43.0,0.0,40.0,40.0,0.0,0.0,112.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,172.0,0.0,172.0,0.0,100.0,0.0,True
2,Sweet Tea Raspberry Flavored - Large,32 oz.,330.0,0.0,0.0,0.0,0.0,30.0,86.0,0.0,81.0,81.0,0.0,0.0,224.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,344.0,0.0,344.0,0.0,100.0,0.0,False
3,Sweet Tea Raspberry Flavored - Medium,24 oz.,250.0,0.0,0.0,0.0,0.0,20.0,65.0,0.0,60.0,60.0,0.0,0.0,167.0,7.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,260.0,0.0,260.0,0.0,100.0,0.0,True
4,Sweet Tea Raspberry Flavored - Small,16 oz.,170.0,0.0,0.0,0.0,0.0,15.0,43.0,0.0,40.0,40.0,0.0,0.0,112.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,172.0,0.0,172.0,0.0,100.0,0.0,True
0,Kolache,1 Kolache,390.0,23.0,7.0,0.0,60.0,1020.0,31.0,1.0,7.0,6.0,15.0,0.0,197.0,86.0,1.0,Kolache - Regional,12-15-2022,,,207.0,124.0,60.0,391.0,52.94,31.71,15.35,True
0,Kosher Dunkin' Double Veggie Sausage Sandwich,1 Sandwich,600.0,18.0,6.0,0.0,180.0,1460.0,74.0,6.0,8.0,5.0,37.0,1.0,439.0,163.0,8.0,Kosher Sandwiches and Wraps,12-15-2022,,,162.0,296.0,148.0,606.0,26.73,48.84,24.42,True
1,Kosher Egg and Cheese Wake Up Wrap,1 Wrap,170.0,10.0,4.0,0.0,95.0,410.0,14.0,0.0,1.0,0.0,7.0,1.0,86.0,120.0,1.0,Kosher Sandwiches and Wraps,12-15-2022,,,90.0,56.0,28.0,174.0,51.72,32.18,16.09,True
2,Kosher Egg and Cheese on an English Muffin,1 Sandwich,340.0,14.0,5.0,0.0,180.0,600.0,38.0,1.0,3.0,3.0,14.0,2.0,164.0,112.0,3.0,Kosher Sandwiches and Wraps,12-15-2022,,,126.0,152.0,56.0,334.0,37.72,45.51,16.77,True
3,Kosher Sourdough Breakfast Sandwich,1 Sandwich,660.0,34.0,10.0,0.0,345.0,1470.0,61.0,3.0,1.0,0.0,29.0,2.0,323.0,234.0,6.0,Kosher Sandwiches and Wraps,12-15-2022,,,306.0,244.0,116.0,666.0,45.95,36.64,17.42,True
4,Kosher Tuna Melt on a Croissant,1 Sandwich,630.0,42.0,15.0,0.0,65.0,820.0,38.0,1.0,5.0,5.0,24.0,3.0,82.0,166.0,3.0,Kosher Sandwiches and Wraps,12-15-2022,,,378.0,152.0,96.0,626.0,60.38,24.28,15.34,True
5,Kosher Tuna Salad on a Plain Bagel,1 Sandwich,510.0,17.0,3.0,0.0,45.0,1060.0,64.0,4.0,7.0,4.0,24.0,0.0,130.0,23.0,4.0,Kosher Sandwiches and Wraps,12-15-2022,,,153.0,256.0,96.0,505.0,30.3,50.69,19.01,True
6,Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,1 Sandwich,510.0,17.0,5.0,0.0,180.0,1170.0,68.0,4.0,7.0,4.0,21.0,1.0,251.0,130.0,5.0,Kosher Sandwiches and Wraps,12-15-2022,,,153.0,272.0,84.0,509.0,30.06,53.44,16.5,True
7,Kosher Veggie Bacon Wake-Up Wrap,1 Wrap,200.0,12.0,4.5,0.0,95.0,520.0,15.0,0.0,1.0,0.0,8.0,1.0,94.0,124.0,1.0,Kosher Sandwiches and Wraps,12-15-2022,,,108.0,60.0,32.0,200.0,54.0,30.0,16.0,True
8,Kosher Veggie Sausage Egg and Cheese on a Croissant,1 Sandwich,570.0,33.0,13.0,0.0,180.0,840.0,44.0,2.0,6.0,5.0,23.0,4.0,268.0,132.0,5.0,Kosher Sandwiches and Wraps,12-15-2022,,,297.0,176.0,92.0,565.0,52.57,31.15,16.28,True
9,Kosher Veggie Sausage Wake-Up Wrap,1 Wrap,210.0,11.0,4.0,0.0,95.0,540.0,16.0,1.0,1.0,1.0,11.0,1.0,138.0,130.0,2.0,Kosher Sandwiches and Wraps,12-15-2022,,,99.0,64.0,44.0,207.0,47.83,30.92,21.26,True
0,Kosher Grilled Cheese,1 Sandwich,420.0,23.0,12.0,0.0,55.0,840.0,36.0,0.0,3.0,2.0,17.0,1.0,146.0,326.0,2.0,"Kosher Sandwiches and Wraps -
Regional",12-15-2022,,,207.0,144.0,68.0,419.0,49.4,34.37,16.23,True
1,Kosher Grilled Cheese with Veggie Bacon,1 Sandwich,480.0,27.0,12.0,0.0,55.0,1060.0,38.0,0.0,3.0,2.0,19.0,1.0,162.0,334.0,3.0,"Kosher Sandwiches and Wraps -
Regional",12-15-2022,,,243.0,152.0,76.0,471.0,51.59,32.27,16.14,True
0,Blueberry Muffin,1 Muffin,460.0,15.0,3.0,0.0,60.0,390.0,77.0,1.0,44.0,41.0,6.0,0.0,93.0,21.0,2.0,Muffins,12-15-2022,,,135.0,308.0,24.0,467.0,28.91,65.95,5.14,True
1,Chocolate Chip Muffin,1 Muffin,550.0,21.0,6.0,0.0,65.0,400.0,85.0,2.0,49.0,49.0,7.0,0.0,175.0,29.0,3.0,Muffins,12-15-2022,,,189.0,340.0,28.0,557.0,33.93,61.04,5.03,True
2,Coffee Cake Muffin,1 Muffin,590.0,24.0,8.0,0.0,65.0,370.0,88.0,2.0,51.0,50.0,7.0,0.0,101.0,36.0,3.0,Muffins,12-15-2022,,,216.0,352.0,28.0,596.0,36.24,59.06,4.7,True
3,Corn Muffin,1 Muffin,460.0,16.0,3.0,0.0,70.0,670.0,73.0,1.0,30.0,30.0,7.0,0.0,85.0,17.0,2.0,Muffins,12-15-2022,,,144.0,292.0,28.0,464.0,31.03,62.93,6.03,True
0,Cinnamon Munchkins,1 Donut Hole,60.0,3.5,1.5,0.0,5.0,65.0,6.0,0.0,2.0,2.0,1.0,0.0,7.0,4.0,0.0,Munchkins,12-15-2022,,,31.5,24.0,4.0,59.5,52.94,40.34,6.72,True
1,Glazed Blueberry Munchkins,1 Donut Hole,60.0,2.5,1.0,0.0,5.0,75.0,9.0,0.0,5.0,4.0,1.0,0.0,12.0,5.0,0.0,Munchkins,12-15-2022,,,22.5,36.0,4.0,62.5,36.0,57.6,6.4,True
2,Glazed Chocolate Munchkins,1 Donut Hole,60.0,3.5,1.5,0.0,0.0,80.0,8.0,0.0,4.0,4.0,1.0,0.0,31.0,6.0,0.0,Munchkins,12-15-2022,,,31.5,32.0,4.0,67.5,46.67,47.41,5.93,True
3,Glazed Munchkins,1 Donut Hole,60.0,3.0,1.5,0.0,0.0,60.0,7.0,0.0,3.0,3.0,1.0,0.0,11.0,2.0,0.0,Munchkins,12-15-2022,,,27.0,28.0,4.0,59.0,45.76,47.46,6.78,True
4,Glazed Old Fashioned Munchkins,1 Donut Hole,70.0,3.0,1.5,0.0,5.0,65.0,8.0,0.0,4.0,4.0,1.0,0.0,7.0,3.0,0.0,Munchkins,12-15-2022,,,27.0,32.0,4.0,63.0,42.86,50.79,6.35,True
5,Jelly Munchkins,1 Donut Hole,60.0,3.0,1.5,0.0,0.0,65.0,8.0,0.0,3.0,3.0,1.0,0.0,11.0,3.0,0.0,Munchkins,12-15-2022,,,27.0,32.0,4.0,63.0,42.86,50.79,6.35,True
6,Old Fashioned Munchkins,1 Donut Hole,50.0,3.0,1.5,0.0,5.0,65.0,6.0,0.0,2.0,1.0,1.0,0.0,6.0,3.0,0.0,Munchkins,12-15-2022,,,27.0,24.0,4.0,55.0,49.09,43.64,7.27,True
7,Powdered Munchkins,1 Donut Hole,60.0,3.5,1.5,0.0,5.0,65.0,7.0,0.0,2.0,2.0,1.0,0.0,6.0,3.0,0.0,Munchkins,12-15-2022,,,31.5,28.0,4.0,63.5,49.61,44.09,6.3,True
0,English Muffin,1 Muffin,190.0,2.0,0.0,0.0,0.0,270.0,35.0,1.0,3.0,3.0,6.0,0.0,56.0,10.0,2.0,Other Bakery,12-15-2022,,,18.0,140.0,24.0,182.0,9.89,76.92,13.19,True
1,Plain Croissant,1 Croissant,340.0,19.0,8.0,0.0,0.0,250.0,37.0,1.0,5.0,5.0,6.0,3.0,57.0,10.0,2.0,Other Bakery,12-15-2022,,,171.0,148.0,24.0,343.0,49.85,43.15,7.0,True
0,Biscuit,1 Biscuit,270.0,14.0,9.0,0.0,10.0,640.0,32.0,1.0,2.0,0.0,5.0,0.0,80.0,64.0,2.0,Other Bakery - Regional,12-15-2022,,,126.0,128.0,20.0,274.0,45.99,46.72,7.3,True
0,Dunkin' Decaf K-Cup® Pod,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
1,Dunkin' Midnight K-Cup® Pod,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
2,French Vanilla K-Cup® Pod,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
3,Ground Dunkin Decaf Packaged Coffee,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
4,Ground Dunkin' Midnight Packaged Coffee,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
5,Ground French Vanilla Packaged Coffee,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
6,Ground Hazelnut Packaged Coffee,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
7,Ground Original Blend Packaged Coffee,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
8,Original Blend K-Cup® Pod,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
9,Whole Bean Original Blend Packaged Coffee,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Coffee,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
0,Bold Breakfast Black Packaged Tea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Tea,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
1,Chamomile Fields Herbal Infusion Packaged Tea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Tea,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
2,Cool Mint Herbal Infusion Packaged Tea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Tea,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
3,Harmony Leaf Green Packaged Tea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Tea,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
4,Hibiscus Kiss Herbal Infusion Packaged Tea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Packaged Tea,12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
0,Decaf Breakfast Black Packaged Tea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Packaged Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",12-15-2022,,,0.0,0.0,0.0,0.0,,,,True
0,"Bacon, Egg and Cheese Wake-Up Wrap",1 Wrap,220.0,13.0,5.0,0.0,105.0,590.0,15.0,0.0,1.0,1.0,10.0,1.0,112.0,134.0,1.0,Sandwiches,12-15-2022,,,117.0,60.0,40.0,217.0,53.92,27.65,18.43,True
1,"Bacon, Egg and Cheese on Croissant",1 Sandwich,560.0,36.0,14.0,0.0,190.0,820.0,41.0,1.0,6.0,5.0,18.0,4.0,210.0,126.0,3.0,Sandwiches,12-15-2022,,,324.0,164.0,72.0,560.0,57.86,29.29,12.86,True
2,"Bacon, Egg and Cheese on English Muffin",1 Sandwich,400.0,19.0,7.0,0.0,190.0,840.0,39.0,1.0,4.0,4.0,18.0,2.0,209.0,126.0,3.0,Sandwiches,12-15-2022,,,171.0,156.0,72.0,399.0,42.86,39.1,18.05,True
3,"Bacon, Egg and Cheese on a Plain Bagel",1 Sandwich,520.0,18.0,6.0,0.0,190.0,1200.0,67.0,4.0,8.0,5.0,23.0,1.0,280.0,137.0,5.0,Sandwiches,12-15-2022,,,162.0,268.0,92.0,522.0,31.03,51.34,17.62,True
4,Double Sausage Breakfast Sandwich,1 Sandwich,900.0,54.0,19.0,0.0,265.0,1980.0,70.0,5.0,8.0,4.0,33.0,2.0,439.0,189.0,6.0,Sandwiches,12-15-2022,,,486.0,280.0,132.0,898.0,54.12,31.18,14.7,True
5,Egg and Cheese Wake-Up Wrap,1 Wrap,180.0,10.0,4.0,0.0,95.0,470.0,14.0,0.0,1.0,0.0,7.0,1.0,74.0,132.0,1.0,Sandwiches,12-15-2022,,,90.0,56.0,28.0,174.0,51.72,32.18,16.09,True
6,Egg and Cheese on Croissant,1 Sandwich,500.0,31.0,13.0,0.0,175.0,640.0,40.0,1.0,6.0,5.0,15.0,4.0,153.0,125.0,3.0,Sandwiches,12-15-2022,,,279.0,160.0,60.0,499.0,55.91,32.06,12.02,True
7,Egg and Cheese on English Muffin,1 Sandwich,340.0,15.0,5.0,0.0,175.0,650.0,38.0,1.0,4.0,3.0,14.0,2.0,151.0,124.0,3.0,Sandwiches,12-15-2022,,,135.0,152.0,56.0,343.0,39.36,44.31,16.33,True
8,Egg and Cheese on a Plain Bagel,1 Sandwich,460.0,13.0,5.0,0.0,175.0,1010.0,66.0,4.0,8.0,4.0,19.0,1.0,222.0,135.0,4.0,Sandwiches,12-15-2022,,,117.0,264.0,76.0,457.0,25.6,57.77,16.63,True
9,Grilled Cheese,1 Sandwich,480.0,20.0,11.0,0.0,55.0,1120.0,54.0,3.0,1.0,0.0,21.0,0.0,167.0,407.0,4.0,Sandwiches,12-15-2022,,,180.0,216.0,84.0,480.0,37.5,45.0,17.5,True
10,"Sausage, Egg and Cheese Wake-Up Wrap",1 Wrap,290.0,21.0,8.0,0.0,120.0,710.0,15.0,1.0,1.0,0.0,10.0,1.0,128.0,146.0,2.0,Sandwiches,12-15-2022,,,189.0,60.0,40.0,289.0,65.4,20.76,13.84,True
11,"Sausage, Egg and Cheese on Croissant",1 Sandwich,720.0,52.0,20.0,0.0,220.0,1120.0,42.0,2.0,6.0,5.0,21.0,5.0,261.0,152.0,4.0,Sandwiches,12-15-2022,,,468.0,168.0,84.0,720.0,65.0,23.33,11.67,True
12,"Sausage, Egg and Cheese on English Muffin",1 Sandwich,560.0,35.0,12.0,0.0,220.0,1140.0,40.0,2.0,4.0,3.0,21.0,2.0,260.0,151.0,3.0,Sandwiches,12-15-2022,,,315.0,160.0,84.0,559.0,56.35,28.62,15.03,True
13,"Sausage, Egg and Cheese on a Plain Bagel",1 Sandwich,680.0,34.0,12.0,0.0,220.0,1500.0,68.0,5.0,8.0,4.0,26.0,2.0,330.0,162.0,5.0,Sandwiches,12-15-2022,,,306.0,272.0,104.0,682.0,44.87,39.88,15.25,True
14,Sourdough Breakfast Sandwich,1 Sandwich,650.0,32.0,11.0,0.0,365.0,1360.0,58.0,3.0,2.0,1.0,31.0,2.0,383.0,220.0,5.0,Sandwiches,12-15-2022,,,288.0,232.0,124.0,644.0,44.72,36.02,19.25,True
15,Spam Breakfast Sandwich,1 Sandwich,630.0,42.0,17.0,0.0,200.0,1210.0,41.0,1.0,6.0,5.0,20.0,4.0,251.0,129.0,3.0,Sandwiches,12-15-2022,,,378.0,164.0,80.0,622.0,60.77,26.37,12.86,True
16,Turkey Sausage Sandwich on English Muffin,1 Sandwich,470.0,25.0,8.0,0.0,215.0,1080.0,39.0,1.0,4.0,3.0,23.0,2.0,249.0,130.0,3.0,Sandwiches,12-15-2022,,,225.0,156.0,92.0,473.0,47.57,32.98,19.45,True
17,Turkey Sausage Wake Up Wrap,1 Wrap,240.0,15.0,6.0,0.0,115.0,680.0,15.0,0.0,1.0,1.0,11.0,1.0,122.0,135.0,2.0,Sandwiches,12-15-2022,,,135.0,60.0,44.0,239.0,56.49,25.1,18.41,True
0,"Biscuit, Bacon, Egg and Cheese",1 Sandwich,490.0,31.0,15.0,0.0,195.0,1210.0,35.0,1.0,3.0,1.0,17.0,1.0,233.0,181.0,3.0,Sandwiches - Regional,12-15-2022,,,279.0,140.0,68.0,487.0,57.29,28.75,13.96,True
1,Chicken Biscuit,1 Sandwich,460.0,22.0,11.0,0.0,45.0,1080.0,46.0,1.0,3.0,1.0,21.0,0.0,269.0,73.0,3.0,Sandwiches - Regional,12-15-2022,,,198.0,184.0,84.0,466.0,42.49,39.48,18.03,True
2,Chicken Croissant Sandwich,1 Sandwich,650.0,36.0,14.0,0.0,65.0,1240.0,55.0,2.0,9.0,8.0,28.0,3.0,335.0,116.0,3.0,Sandwiches - Regional,12-15-2022,,,324.0,220.0,112.0,656.0,49.39,33.54,17.07,True
3,Sausage Biscuit,1 Sandwich,490.0,34.0,16.0,0.0,45.0,1120.0,32.0,1.0,2.0,0.0,13.0,0.0,229.0,86.0,3.0,Sandwiches - Regional,12-15-2022,,,306.0,128.0,52.0,486.0,62.96,26.34,10.7,True
0,Extra Thick Shake - Chocolate,1 Size,610.0,20.0,13.0,0.5,70.0,320.0,92.0,3.0,85.0,60.0,19.0,2.0,1095.0,650.0,0.0,Soft Serve,12-15-2022,,,180.0,368.0,76.0,624.0,28.85,58.97,12.18,False
1,Extra Thick Shake - Coffee,1 Size,460.0,19.0,12.0,0.5,70.0,310.0,55.0,1.0,51.0,26.0,18.0,2.0,891.0,643.0,0.0,Soft Serve,12-15-2022,,,171.0,220.0,72.0,463.0,36.93,47.52,15.55,True
2,Extra Thick Shake - Vanilla,1 Size,450.0,19.0,12.0,0.5,70.0,300.0,54.0,1.0,51.0,26.0,18.0,2.0,835.0,642.0,0.0,Soft Serve,12-15-2022,,,171.0,216.0,72.0,459.0,37.25,47.06,15.69,True
3,Frozen Coffee Float,1 Size,360.0,15.0,9.0,0.5,55.0,170.0,50.0,1.0,47.0,37.0,8.0,1.0,764.0,278.0,1.0,Soft Serve,12-15-2022,,,135.0,200.0,32.0,367.0,36.78,54.5,8.72,True
4,M&M's® Mix-In,1 Serving,650.0,27.0,17.0,0.5,60.0,270.0,88.0,3.0,82.0,61.0,16.0,0.0,811.0,538.0,1.0,Soft Serve,12-15-2022,,,243.0,352.0,64.0,659.0,36.87,53.41,9.71,True
5,OREO® Mix-In,1 Serving,510.0,21.0,11.0,0.5,55.0,350.0,70.0,2.0,55.0,38.0,14.0,0.0,657.0,470.0,2.0,Soft Serve,12-15-2022,,,189.0,280.0,56.0,525.0,36.0,53.33,10.67,False
6,Soft Serve Cone,1 Cone,260.0,9.0,6.0,0.0,35.0,160.0,35.0,1.0,27.0,16.0,9.0,0.0,404.0,304.0,0.0,Soft Serve,12-15-2022,,,81.0,140.0,36.0,257.0,31.52,54.47,14.01,True
7,Strawberry Coolatta® Float,1 Size,420.0,12.0,8.0,0.0,50.0,210.0,68.0,1.0,64.0,29.0,11.0,0.0,570.0,411.0,0.0,Soft Serve,12-15-2022,,,108.0,272.0,44.0,424.0,25.47,64.15,10.38,True
