index,Item Type,Serving Size,Calories,fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),carbs,Dietary Fiber (g),Total Sugars (g),Added Sugars (g),protein,Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Table Type,as_of,Drink Type,oz_int,Total Fat_calories,Total Carb_calories,Protein_calories,calc_cals,Total Fat_pct,Total Carb_pct,Protein_pct,cals_match
19,Matcha Iced Latte with Whole Milk - Medium,24 oz.,250.0,9.0,5.0,0.0,25.0,130.0,33.0,1.0,32.0,19.0,10.0,6.0,366.0,321.0,0.0,Iced Latte,12-15-2022,iced,24,81.0,132.0,40.0,253.0,32.02,52.17,15.81,True
20,Matcha Iced Latte with Whole Milk - Small,16 oz.,170.0,6.0,3.5,0.0,20.0,85.0,22.0,1.0,21.0,12.0,7.0,4.0,244.0,215.0,0.0,Iced Latte,12-15-2022,iced,16,54.0,88.0,28.0,170.0,31.76,51.76,16.47,True
21,Mocha Swirl Iced Latte with Skim Milk - Large,32 oz.,340.0,1.0,0.5,0.0,5.0,210.0,70.0,2.0,64.0,46.0,14.0,4.0,1021.0,476.0,2.0,Iced Latte,12-15-2022,iced,32,9.0,280.0,56.0,345.0,2.61,81.16,16.23,True
22,Mocha Swirl Iced Latte with Skim Milk - Medium,24 oz.,250.0,1.0,0.5,0.0,5.0,160.0,52.0,2.0,48.0,34.0,10.0,3.0,761.0,356.0,1.0,Iced Latte,12-15-2022,iced,24,9.0,208.0,40.0,257.0,3.5,80.93,15.56,True
23,Mocha Swirl Iced Latte with Skim Milk - Small,16 oz.,170.0,0.5,0.0,0.0,5.0,105.0,35.0,1.0,32.0,23.0,7.0,2.0,510.0,238.0,1.0,Iced Latte,12-15-2022,iced,16,4.5,140.0,28.0,172.5,2.61,81.16,16.23,True
24,Mocha Swirl Iced Latte with Whole Milk - Large,32 oz.,440.0,13.0,7.0,0.0,35.0,220.0,69.0,2.0,63.0,46.0,13.0,5.0,931.0,442.0,2.0,Iced Latte,12-15-2022,iced,32,117.0,276.0,52.0,445.0,26.29,62.02,11.69,True
25,Mocha Swirl Iced Latte with Whole Milk - Medium,24 oz.,330.0,10.0,6.0,0.0,25.0,160.0,52.0,2.0,47.0,34.0,10.0,4.0,694.0,330.0,1.0,Iced Latte,12-15-2022,iced,24,90.0,208.0,40.0,338.0,26.63,61.54,11.83,True
0,Mocha Swirl Iced Latte with Whole Milk - Small,16 oz.,220.0,6.0,3.5,0.0,20.0,110.0,35.0,1.0,32.0,23.0,7.0,2.0,466.0,221.0,1.0,Iced Latte,12-15-2022,iced,16,54.0,140.0,28.0,222.0,24.32,63.06,12.61,True
0,Caramel Swirl Iced Macchiato with Skim Milk - Large,32 oz.,310.0,0.0,0.0,0.0,10.0,200.0,66.0,0.0,63.0,46.0,11.0,3.0,872.0,420.0,0.0,Iced Macchiato,12-15-2022,iced,32,0.0,264.0,44.0,308.0,0.0,85.71,14.29,True
1,Caramel Swirl Iced Macchiato with Skim Milk - Medium,24 oz.,240.0,0.0,0.0,0.0,5.0,150.0,49.0,0.0,47.0,35.0,8.0,2.0,661.0,314.0,0.0,Iced Macchiato,12-15-2022,iced,24,0.0,196.0,32.0,228.0,0.0,85.96,14.04,False
2,Caramel Swirl Iced Macchiato with Skim Milk - Small,16 oz.,160.0,0.0,0.0,0.0,5.0,105.0,33.0,0.0,32.0,23.0,6.0,1.0,459.0,211.0,0.0,Iced Macchiato,12-15-2022,iced,16,0.0,132.0,24.0,156.0,0.0,84.62,15.38,True
3,Caramel Swirl Iced Macchiato with Whole Milk - Large,32 oz.,380.0,8.0,4.5,0.0,30.0,200.0,65.0,0.0,63.0,46.0,11.0,3.0,812.0,397.0,0.0,Iced Macchiato,12-15-2022,iced,32,72.0,260.0,44.0,376.0,19.15,69.15,11.7,True
4,Caramel Swirl Iced Macchiato with Whole Milk - Medium,24 oz.,290.0,6.0,3.5,0.0,20.0,150.0,49.0,0.0,47.0,35.0,8.0,2.0,616.0,297.0,0.0,Iced Macchiato,12-15-2022,iced,24,54.0,196.0,32.0,282.0,19.15,69.5,11.35,True
5,Caramel Swirl Iced Macchiato with Whole Milk - Small,16 oz.,190.0,4.0,2.5,0.0,15.0,105.0,33.0,0.0,31.0,23.0,5.0,2.0,429.0,199.0,0.0,Iced Macchiato,12-15-2022,iced,16,36.0,132.0,20.0,188.0,19.15,70.21,10.64,True
6,French Vanilla Swirl Iced Macchiato with Skim Milk - Large,32 oz.,310.0,0.0,0.0,0.0,10.0,190.0,65.0,0.0,61.0,42.0,11.0,3.0,835.0,401.0,0.0,Iced Macchiato,12-15-2022,iced,32,0.0,260.0,44.0,304.0,0.0,85.53,14.47,True
7,French Vanilla Swirl Iced Macchiato with Skim Milk - Medium,24 oz.,230.0,0.0,0.0,0.0,5.0,150.0,49.0,0.0,46.0,31.0,8.0,2.0,633.0,300.0,0.0,Iced Macchiato,12-15-2022,iced,24,0.0,196.0,32.0,228.0,0.0,85.96,14.04,True
8,French Vanilla Swirl Iced Macchiato with Skim Milk - Small,16 oz.,160.0,0.0,0.0,0.0,5.0,100.0,33.0,0.0,30.0,21.0,5.0,1.0,441.0,201.0,0.0,Iced Macchiato,12-15-2022,iced,16,0.0,132.0,20.0,152.0,0.0,86.84,13.16,True
9,French Vanilla Swirl Iced Macchiato with Whole Milk - Large,32 oz.,380.0,8.0,4.5,0.0,30.0,200.0,65.0,0.0,60.0,42.0,10.0,3.0,776.0,378.0,0.0,Iced Macchiato,12-15-2022,iced,32,72.0,260.0,40.0,372.0,19.35,69.89,10.75,True
10,French Vanilla Swirl Iced Macchiato with Whole Milk - Medium,24 oz.,280.0,6.0,3.5,0.0,20.0,150.0,49.0,0.0,45.0,31.0,8.0,2.0,588.0,283.0,0.0,Iced Macchiato,12-15-2022,iced,24,54.0,196.0,32.0,282.0,19.15,69.5,11.35,True
11,French Vanilla Swirl Iced Macchiato with Whole Milk - Small,16 oz.,190.0,4.0,2.5,0.0,15.0,100.0,33.0,0.0,30.0,21.0,5.0,2.0,411.0,189.0,0.0,Iced Macchiato,12-15-2022,iced,16,36.0,132.0,20.0,188.0,19.15,70.21,10.64,True
12,Iced Macchiato with Coconutmilk - Large,32 oz.,50.0,4.0,3.5,0.0,0.0,80.0,3.0,0.0,0.0,0.0,1.0,3.0,456.0,523.0,1.0,Iced Macchiato,12-15-2022,iced,32,36.0,12.0,4.0,52.0,69.23,23.08,7.69,True
13,Iced Macchiato with Coconutmilk - Medium,24 oz.,40.0,3.0,2.5,0.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,2.0,349.0,391.0,0.0,Iced Macchiato,12-15-2022,iced,24,27.0,12.0,0.0,39.0,69.23,30.77,0.0,True
14,Iced Macchiato with Coconutmilk - Small,16 oz.,30.0,2.0,1.5,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,2.0,251.0,262.0,0.0,Iced Macchiato,12-15-2022,iced,16,18.0,8.0,0.0,26.0,69.23,30.77,0.0,True
